cardsPerSeat,totalCards,deckDealtPct,cardsUnseenFromOneSide,missingCardLiveOddsPct,missingCardDeadOddsPct,avgLiveAces,avgMissingAces,allAcesLivePct,noAcesLivePct,avgLiveHonors,avgHcpGap,avgHcpShareGapPct,balancedHcpPct,blowoutHcpPct,avgBestTrumpFit,strongFitThreshold,strongFitPct,avgFitGap,twoPlusAcesEitherSidePct,clearFavoritePct,engagementScore
4,16,30.77,44,18.18,81.82,1.23,2.77,0.66,21.62,4.94,4.22,37.27,31.14,41.82,3.75,4,60.97,0.7,21.39,37.9,41
5,20,38.46,42,23.81,76.19,1.54,2.46,1.86,13.06,6.15,4.74,32.61,34.23,35.57,4.41,4,92.67,0.81,31.66,33.82,46
6,24,46.15,40,30,70,1.85,2.15,3.96,7.63,7.37,5.19,29.32,37.81,30.38,5.02,5,73.55,0.8,43.55,28.08,64
7,28,53.85,38,36.84,63.16,2.15,1.85,7.26,4.09,8.61,5.6,26.8,40.56,26.11,5.61,5,95.33,0.86,55.65,25.35,73
8,32,61.54,36,44.44,55.56,2.48,1.52,13.69,1.8,9.85,6,24.88,42.86,22.47,6.17,6,78.59,0.84,67.5,21.85,87
9,36,69.23,34,52.94,47.06,2.77,1.23,22.06,0.68,11.08,6.32,23.17,46.14,18.95,6.72,7,55.07,0.85,77.36,18.27,90
10,40,76.92,32,62.5,37.5,3.08,0.92,33.95,0.16,12.31,6.6,21.68,49.27,16.36,7.22,7,79.16,0.78,86.96,16.18,78
11,44,84.62,30,73.33,26.67,3.39,0.61,50.2,0.03,13.55,7.05,20.98,50.73,14.54,7.72,8,55.46,0.77,94.12,14.39,63
12,48,92.31,28,85.71,14.29,3.7,0.3,72.61,0,14.78,7.32,19.86,53.13,12.76,8.21,9,34.63,0.68,98.73,12.29,44
13,52,100,26,100,0,4,0,100,0,16,7.62,19.05,53.22,11.85,8.62,9,51.67,0.55,100,11.5,41
